Program,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Tagline,Outcome,Comments
OPEN 2009,General Electric (GE) Global Research,ALUMNI,For-profit,10/1/10,9/30/13,Transportation Vehicles,Nanocomposite Magnets,Pivot,"hold a patent for making nanocomposities, but nothing about the vehicle strategy"
OPEN 2009,General Motors (GM),ALUMNI,For-profit,1/1/10,3/31/12,Resource Efficiency,Waste Heat Recovery System,Pivot,"They used waste heat for interior heating, but no mechanical work"
OPEN 2009,ITN Energy Systems,ALUMNI,For-profit,1/1/10,6/30/13,Building Efficiency,Electrochromic Film for More Efficient Windows,Persist,
OPEN 2009,Lehigh University,ALUMNI,Non-profit,1/1/10,6/30/12,Resource Efficiency,CO2 Capture Using Electric Fields,Persist,"Kai Landskron still pursuing similar research, but only concentrating co2, not really capturing it, still at 46% in the effluent"
OPEN 2009,Makani Power,ALUMNI,For-profit,9/1/10,10/16/13,Distributed Generation,Airborne Wind Turbine,Persist,
OPEN 2009,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,1/15/10,9/30/13,Storage,Electroville: Grid-Scale Batteries,Persist,Ambri
OPEN 2009,Michigan State University (MSU),ALUMNI,Non-profit,1/14/10,9/30/13,Distributed Generation,Shockwave Engine,Perish,
OPEN 2009,Phononic Devices,ALUMNI,For-profit,12/11/09,3/30/12,Storage,Improved Thermoelectric Devices,Pivot,
OPEN 2009,Porifera,ALUMNI,For-profit,3/1/10,3/31/13,Resource Efficiency,Carbon Nanotube Membranes,Perish,Nothing for CO2 removal
OPEN 2009,Research Triangle Institute (RTI),ALUMNI,Non-profit,1/1/10,9/30/13,Transportation Fuels,Biofuels from Pyrolysis,Persist,they built a test facility
OPEN 2009,Soraa,ALUMNI,For-profit,6/6/12,1/31/16,Building Efficiency,Ammonothermal Growth of GaN Substrates for LEDs,Persist,
OPEN 2009,Stanford University,ALUMNI,Non-profit,1/14/10,11/30/16,Resource Efficiency,Behavioral Initiatives for Energy Efficiency,Perish,Funded studies of behaviorial stuff
OPEN 2009,Sun Catalytix,ALUMNI,For-profit,12/31/09,12/31/12,Resource Efficiency,Energy from Water and Sunlight,Perish,
OPEN 2009,Teledyne Scientific & Imaging,ALUMNI,For-profit,10/1/10,4/19/13,Distributed Generation,Efficient Solar Concentrators,Perish,Don't seem to be doing anything with solar
